,username,location,tweet_text,count_of_retweets,company
156,JohnTho05109197,"West Virginia, USA","I entered a giveaway for a chance to win ""Women Poncho Reversible Blanket Scarf Sweate..."" by Linked Moda. https://t.co/2Is35iadZt #giveaway",0,Amazon
157,RachelGriesmer,,In need of a great #WeekendRead? #Never (#PennymakerTales Series bk 4) by @taralain https://t.co/cMYDVVfWjB https://t.co/cjjWsGRAfm,0,Amazon
158,RachelGriesmer,,"You can #win one of two $25 Amazon Cards @Ohiohomeschool. Give-away ends November 6, 2017 https://t.co/JjKlTKKZyu",0,Amazon
159,akaAdrianneLee,http://www.adriannelee.com,"RT @abelfrageauthor: #NewRelease Free on KU. 17th Century Adventure, Love &amp; Loss! https://t.co/yhpmmNEhGM https://t.co/B6ojblktWS",5,Amazon
0,alyssaspiering,"Boise, ID. ",will someone go get lunch at costco with me,0,Costco
1,Schumade,"Sumedang Utara, Indonesia",Costco furniture reviews https://t.co/ePNJoL9xb8 https://t.co/EztClUE3vf,0,Costco
2,jasonrodman,Seattle,I was staying strong against buying the Nest T-stat. Then Costco had it for $25 less than Amazon.  Now I have a Nest T-stat.,0,Costco
3,TrishLakeman,,@JuliannaNazaruk The ones we have right now are from Canadian tire and they're already crappy and only 2 years old.… https://t.co/iCH8fpfiUg,0,Costco
4,DanielleChetrit,Bay Area ,RT @FrickenSiddoh: are you really a snack if everyone’s had a bite? you’re a Costco free sample.,153,Costco
5,MistyWOsborne,Kentucky,Costco Holiday Gift Guide Is Ready! via Dian's Daily Deals - ** Costco Holiday Gift Guide Is ... https://t.co/uTILOyrAY9,0,Costco
6,17fmilkyway,,Costco Holiday Gift Guide Is Ready! via Dian's Daily Deals - ** Costco Holiday Gift Guide Is ... https://t.co/Got4wAmdj3,0,Costco
7,ADamnCanadian,"Florida, USA",RT @isabelaseraffim: Me walking into a Costco https://t.co/1KGmviGn0s,366,Costco
8,mussocpa,NYC,How does the right of way work with the carts and shitload of people work at #Costco? Fatter person has right of way?,0,Costco
9,jdeanUT,Salt Lake City,Meanwhile at Costco https://t.co/fjR0Vihj9l,0,Costco
10,JuliannaNazaruk,Stony Plain Alberta,@TrishLakeman Look at Costco or Canadian tire they always have decent sales,0,Costco
11,BluntsNLaughs,Indica-Sativa ,@Costco I️ am very sad to see that these changes have taken away items which seemed to be great sellers. #bringbacktheoldCostco,0,Costco
12,LisaMakeWords,,"I cleaned my apartment today, and did the dishes and I am going to go to Costco like the adult I am.",0,Costco
13,pixchips,"San Jose, CA",@idebunkforme @rockytech Costco has huge area w toys and decorations.,0,Costco
14,mulcronej1,"Michigan, USA",Sunday dinner @VikingRange plus @Costco Prime equals magic https://t.co/qlCNRIsJLK,0,Costco
15,tomsherwood,District of Columbia,Definition of a fool? Me standing in line at Costco when i have one thing — one — to buy. https://t.co/VlrfBqbmZu,0,Costco
16,BluntsNLaughs,Indica-Sativa ,@Costco polish dogs gone. Now a sesame bun. (I’m allergic to sesame seeds) they have brisket sandwiches here. But come with soggy coleslaw,0,Costco
17,migueld951,Home. What's new?,I need to go to Costco now https://t.co/iKnUAGGUy6,0,Costco
18,malcosaurus,Scotland,"We went into Costco for a bottle of caramel syrup, came out with no caramel syrup but a giant… https://t.co/KiMpXeE7sk",0,Costco
19,girlinabasement,,i bet if a guy proposed to me in a costco we'd get some perks &amp; free samples out of it,0,Costco
20,Hasoon_suzie,,@DougGilmour93 @costcocanada first in line at costco Mississauga. my best friend grew up a huge fan &amp; met doug when… https://t.co/zgOfhRXjFC,0,Costco
21,BluntsNLaughs,Indica-Sativa ,"@Costco I️ finally found a #Costco in Texas. I️ missed it so much. But I️ was disappointed. Why did the polish dogs disappear, #1",0,Costco
22,WheelnDealMama,,Costco Holiday Savings Deals Start November 9th... https://t.co/2XJUOfwX4T,0,Costco
23,ZakharovaClaire,on the court,who’s trying to go hit up costco or walmart with me https://t.co/mxjnBaxbfU,0,Costco
24,christinaapip,,RT @isabelaseraffim: Me walking into a Costco https://t.co/1KGmviGn0s,366,Costco
25,_babyjaneee99,"Illinois, USA","I'm at Costco Wholesale in Niles, IL https://t.co/PTLesdHmb8",0,Costco
26,Osic921,Walmart,WHERE IS THE CLOSEST COSTCO https://t.co/okGeFLNZKb,0,Costco
27,sm97xo,Oregon,@ciiindymeow Those look like they’re in Costco! I’m def getting one 😇,0,Costco
28,chem233UBCJay,UBC,Here I am. In a Costco parking lot. An hour before it opens. Yay me! #DaylightSavingTime,0,Costco
29,fierymistress,California,That feeling when someone at a @costco with a hot plate and a toaster oven made the meals tastier than you did. https://t.co/LYkNdi0qoI,0,Costco
30,Balmain_Empire,CA,Anyone that bring me Xmas cookies from Costco will be loved forever.,0,Costco
31,carch3r,"Austin, TX","Just when #CoachBf commits to walking it the mile+ to the house, our Costco angel walks up: ""Umm, what's your plan there?""",0,Costco
32,leedevito,Detroit-ish,“Be a man and go to @Costco” - a thing I just said,0,Costco
33,queeeennv,,RT @isabelaseraffim: Me walking into a Costco https://t.co/1KGmviGn0s,366,Costco
34,ketsivaun,Canada,@kassandra1809 OBVIOUSLY NOT WHERE YOU ARE. Come to Canada. 👀We also sell poutine in our Costco up here and it's so good. SO FAT BUT GOOD.,0,Costco
35,SittonBeth,,They have a king sized one at Costco for 25 .... best investment ever https://t.co/cSWe4KnXLN,0,Costco
36,julietteLmedina,brooklyn|dc,“it was easier for me to get into a bar underage than it is to get in to costco” - my friend,0,Costco
37,janussaint,PDX,"GF: (reading @Costco facts in Wikipedia) “Here’s a list of all the countries Costco is in, aka all the countries we can move to.”",0,Costco
38,PixeledPumpkin,British Columbia ,@ImDaveGaming It's evil in the best way. Costco just can't be beat for food prices... But they also sell many evil delicious things,0,Costco
39,NegronSolangie,"Florida, USA",RT @isabelaseraffim: Me walking into a Costco https://t.co/1KGmviGn0s,366,Costco
40,organicssense,Ohio and Florida,Love these on my salad! I️ can have these on my drjunger 21 day detox😊. costco $5.99.… https://t.co/ogKSaEynLn,0,Costco
41,Carlos_S34,"Monterrey,MX","I'm at Costco in Monterrey, Nuevo Leon https://t.co/VqCjmGuBXU",0,Costco
42,Wayne_JClark,nl,RT @natalieevamarie: It’s from @costco 😍 my mom and i have the same one ✨😍 https://t.co/jSTYiWfpbo,2,Costco
43,carch3r,"Austin, TX",#CoachBf and I are lucky that strangers are nice to us for some reason.... We get to Costco and see an awesome chest freezer on sale,0,Costco
44,eemee,,Sometimes @Costco feels like Disney world to me,0,Costco
45,DiansDeals,,Costco Holiday Gift Guide Is Ready! https://t.co/k0Pl3JiRA2 #BlackFriday2017 BlackFriday #Deals https://t.co/wbdEAVpDiF,0,Costco
46,CarleeJones5,"Edgehood, KY",RT @isabelaseraffim: Me walking into a Costco https://t.co/1KGmviGn0s,366,Costco
47,kara_beara_,"Green Bay, WI","Church used to be the place the community would gather together on Sundays, now that place is @Costco #madness",0,Costco
48,kuntiara,California,I love weekends be the only emails I get are from makeup brands and Costco,0,Costco
49,slicka_333,"Orlando, FL",@fatgalriri_ Looking like the costco version of Ayesha curry,0,Costco
50,JorgeLVidal,"clemmons,nc",When the photo lady says it will be an hour to print up a passport photo @Costco and 90mins later i am still waiting on a Sunday @11am #fail,0,Costco
51,HocamSham,,Costco runs w/ Los. Everytime I see the final amount &amp; he swipes his card Oooooo instant yoso 😂💀 https://t.co/FNULLKKjhs,0,Costco
52,Keurfuffle,"Tucson, AZ",RT @GingerHotDish: How to lose a guy in 10 minutes in Costco.,300,Costco
53,joeshowshow,"Louisville, KY",#StressRelievingHobbies Selling your shitty book on sample day at Costco,0,Costco
54,maitrehipster,"Montréal, Québec",@costcocanada Right now the only thing we read about sampling is how shitty CDS is about letting employees have wat… https://t.co/HKhrq8rzUf,0,Costco
55,mivujo,"Toronto, Ontario",The way people fight to get into Costco gas lines is actually sad.,0,Costco
56,MichelangeloDA,"Chicago, IL",I have an irrational love for Costco.,0,Costco
57,thebradwilliams,"Lansing/Detroit, Michigan",Maybe not the best ride to bring to Costco. https://t.co/74yJosYCGq,0,Costco
58,alyssaspiering,"Boise, ID. ",will someone go get lunch at costco with me,0,Costco
59,Schumade,"Sumedang Utara, Indonesia",Costco furniture reviews https://t.co/ePNJoL9xb8 https://t.co/EztClUE3vf,0,Costco
60,jasonrodman,Seattle,I was staying strong against buying the Nest T-stat. Then Costco had it for $25 less than Amazon.  Now I have a Nest T-stat.,0,Costco
61,TrishLakeman,,@JuliannaNazaruk The ones we have right now are from Canadian tire and they're already crappy and only 2 years old.… https://t.co/iCH8fpfiUg,0,Costco
62,DanielleChetrit,Bay Area ,RT @FrickenSiddoh: are you really a snack if everyone’s had a bite? you’re a Costco free sample.,153,Costco
63,MistyWOsborne,Kentucky,Costco Holiday Gift Guide Is Ready! via Dian's Daily Deals - ** Costco Holiday Gift Guide Is ... https://t.co/uTILOyrAY9,0,Costco
64,17fmilkyway,,Costco Holiday Gift Guide Is Ready! via Dian's Daily Deals - ** Costco Holiday Gift Guide Is ... https://t.co/Got4wAmdj3,0,Costco
65,ADamnCanadian,"Florida, USA",RT @isabelaseraffim: Me walking into a Costco https://t.co/1KGmviGn0s,366,Costco
66,mussocpa,NYC,How does the right of way work with the carts and shitload of people work at #Costco? Fatter person has right of way?,0,Costco
67,jdeanUT,Salt Lake City,Meanwhile at Costco https://t.co/fjR0Vihj9l,0,Costco
68,JuliannaNazaruk,Stony Plain Alberta,@TrishLakeman Look at Costco or Canadian tire they always have decent sales,0,Costco
69,BluntsNLaughs,Indica-Sativa ,@Costco I️ am very sad to see that these changes have taken away items which seemed to be great sellers. #bringbacktheoldCostco,0,Costco
70,LisaMakeWords,,"I cleaned my apartment today, and did the dishes and I am going to go to Costco like the adult I am.",0,Costco
71,pixchips,"San Jose, CA",@idebunkforme @rockytech Costco has huge area w toys and decorations.,0,Costco
72,mulcronej1,"Michigan, USA",Sunday dinner @VikingRange plus @Costco Prime equals magic https://t.co/qlCNRIsJLK,0,Costco
73,tomsherwood,District of Columbia,Definition of a fool? Me standing in line at Costco when i have one thing — one — to buy. https://t.co/VlrfBqbmZu,0,Costco
74,BluntsNLaughs,Indica-Sativa ,@Costco polish dogs gone. Now a sesame bun. (I’m allergic to sesame seeds) they have brisket sandwiches here. But come with soggy coleslaw,0,Costco
75,migueld951,Home. What's new?,I need to go to Costco now https://t.co/iKnUAGGUy6,0,Costco
76,malcosaurus,Scotland,"We went into Costco for a bottle of caramel syrup, came out with no caramel syrup but a giant… https://t.co/KiMpXeE7sk",0,Costco
77,girlinabasement,,i bet if a guy proposed to me in a costco we'd get some perks &amp; free samples out of it,0,Costco
78,Hasoon_suzie,,@DougGilmour93 @costcocanada first in line at costco Mississauga. my best friend grew up a huge fan &amp; met doug when… https://t.co/zgOfhRXjFC,0,Costco
79,BluntsNLaughs,Indica-Sativa ,"@Costco I️ finally found a #Costco in Texas. I️ missed it so much. But I️ was disappointed. Why did the polish dogs disappear, #1",0,Costco
80,WheelnDealMama,,Costco Holiday Savings Deals Start November 9th... https://t.co/2XJUOfwX4T,0,Costco
81,ZakharovaClaire,on the court,who’s trying to go hit up costco or walmart with me https://t.co/mxjnBaxbfU,0,Costco
82,christinaapip,,RT @isabelaseraffim: Me walking into a Costco https://t.co/1KGmviGn0s,366,Costco
83,_babyjaneee99,"Illinois, USA","I'm at Costco Wholesale in Niles, IL https://t.co/PTLesdHmb8",0,Costco
84,Osic921,Walmart,WHERE IS THE CLOSEST COSTCO https://t.co/okGeFLNZKb,0,Costco
85,sm97xo,Oregon,@ciiindymeow Those look like they’re in Costco! I’m def getting one 😇,0,Costco
86,chem233UBCJay,UBC,Here I am. In a Costco parking lot. An hour before it opens. Yay me! #DaylightSavingTime,0,Costco
87,fierymistress,California,That feeling when someone at a @costco with a hot plate and a toaster oven made the meals tastier than you did. https://t.co/LYkNdi0qoI,0,Costco
88,Balmain_Empire,CA,Anyone that bring me Xmas cookies from Costco will be loved forever.,0,Costco
89,carch3r,"Austin, TX","Just when #CoachBf commits to walking it the mile+ to the house, our Costco angel walks up: ""Umm, what's your plan there?""",0,Costco
90,leedevito,Detroit-ish,“Be a man and go to @Costco” - a thing I just said,0,Costco
91,queeeennv,,RT @isabelaseraffim: Me walking into a Costco https://t.co/1KGmviGn0s,366,Costco
92,ketsivaun,Canada,@kassandra1809 OBVIOUSLY NOT WHERE YOU ARE. Come to Canada. 👀We also sell poutine in our Costco up here and it's so good. SO FAT BUT GOOD.,0,Costco
93,SittonBeth,,They have a king sized one at Costco for 25 .... best investment ever https://t.co/cSWe4KnXLN,0,Costco
94,julietteLmedina,brooklyn|dc,“it was easier for me to get into a bar underage than it is to get in to costco” - my friend,0,Costco
95,janussaint,PDX,"GF: (reading @Costco facts in Wikipedia) “Here’s a list of all the countries Costco is in, aka all the countries we can move to.”",0,Costco
96,PixeledPumpkin,British Columbia ,@ImDaveGaming It's evil in the best way. Costco just can't be beat for food prices... But they also sell many evil delicious things,0,Costco
97,NegronSolangie,"Florida, USA",RT @isabelaseraffim: Me walking into a Costco https://t.co/1KGmviGn0s,366,Costco
98,organicssense,Ohio and Florida,Love these on my salad! I️ can have these on my drjunger 21 day detox😊. costco $5.99.… https://t.co/ogKSaEynLn,0,Costco
99,Carlos_S34,"Monterrey,MX","I'm at Costco in Monterrey, Nuevo Leon https://t.co/VqCjmGuBXU",0,Costco
100,Wayne_JClark,nl,RT @natalieevamarie: It’s from @costco 😍 my mom and i have the same one ✨😍 https://t.co/jSTYiWfpbo,2,Costco
101,carch3r,"Austin, TX",#CoachBf and I are lucky that strangers are nice to us for some reason.... We get to Costco and see an awesome chest freezer on sale,0,Costco
102,eemee,,Sometimes @Costco feels like Disney world to me,0,Costco
103,DiansDeals,,Costco Holiday Gift Guide Is Ready! https://t.co/k0Pl3JiRA2 #BlackFriday2017 BlackFriday #Deals https://t.co/wbdEAVpDiF,0,Costco
104,CarleeJones5,"Edgehood, KY",RT @isabelaseraffim: Me walking into a Costco https://t.co/1KGmviGn0s,366,Costco
105,kara_beara_,"Green Bay, WI","Church used to be the place the community would gather together on Sundays, now that place is @Costco #madness",0,Costco
106,kuntiara,California,I love weekends be the only emails I get are from makeup brands and Costco,0,Costco
107,slicka_333,"Orlando, FL",@fatgalriri_ Looking like the costco version of Ayesha curry,0,Costco
108,JorgeLVidal,"clemmons,nc",When the photo lady says it will be an hour to print up a passport photo @Costco and 90mins later i am still waiting on a Sunday @11am #fail,0,Costco
109,HocamSham,,Costco runs w/ Los. Everytime I see the final amount &amp; he swipes his card Oooooo instant yoso 😂💀 https://t.co/FNULLKKjhs,0,Costco
110,Keurfuffle,"Tucson, AZ",RT @GingerHotDish: How to lose a guy in 10 minutes in Costco.,300,Costco
111,joeshowshow,"Louisville, KY",#StressRelievingHobbies Selling your shitty book on sample day at Costco,0,Costco
112,maitrehipster,"Montréal, Québec",@costcocanada Right now the only thing we read about sampling is how shitty CDS is about letting employees have wat… https://t.co/HKhrq8rzUf,0,Costco
113,mivujo,"Toronto, Ontario",The way people fight to get into Costco gas lines is actually sad.,0,Costco
114,MichelangeloDA,"Chicago, IL",I have an irrational love for Costco.,0,Costco
115,thebradwilliams,"Lansing/Detroit, Michigan",Maybe not the best ride to bring to Costco. https://t.co/74yJosYCGq,0,Costco
0,sandysgingham,Wild Wild West,2 Post Road Custom Hand Towels Decorated w New Ralph Lauren Fabric | eBay  https://t.co/FGGlpAmRYH,0,ebay
1,serowa,Georgia,Check out Rouge Foxy-02 Decorated Black Size 8 Calf Cowboy Boots #Rouge #Cowboy https://t.co/UPIbj6Lr8M via @eBay,0,ebay
2,NewDeals_C87,,PISEN OTG Adapter For Cell #Phone #Tablet #digital #market #deals #sales #today #iphone #tech #video #np… https://t.co/pK1I4MAvAb,0,ebay
3,brandbazzar,"West Hartford, CT",[SALE] #Starbucks #coffee #mug 16 fl oz (473 ml) DO NOT MICROWAVE H https://t.co/XA5ZZpAeB9 visit our ebay store https://t.co/AGTTMYdtxC,0,ebay
4,BigFishFinds,North Carolina,RT @supergirlebay: #Gymboree #BabyGirl #Yellow #Strawberry #Flowers #Sleeveless #Dress #girlboss #babyclothes  Size 6 - 12 Months https://t…,1,ebay
5,CatBot13,America,RT @BidNowPetSupply: NEW American Flag Dog Collar - Large   MADE IN USA https://t.co/sDMHTO7Lqh #petsupplies #pet #dog #cat #ebay #ad,1,ebay
6,Yeuxfa_Xeotsu,"New York, USA",Zinc Alloy Metal Drawer Cabinet Cupboard Wardrobe Door Pull Handle Knobs https://t.co/AwSwGMwFks,0,ebay
7,BidNowPetSupply,America,NEW American Flag Dog Collar - Large   MADE IN USA https://t.co/sDMHTO7Lqh #petsupplies #pet #dog #cat #ebay #ad,1,ebay
8,1percentwatches,,#Blancpain Villeret Ultra Slim 18k Yellow Gold Open Skeleton Case Back  https://t.co/ofg2D9y9cp https://t.co/dbCORC4Yf8,0,ebay
9,Toms_Golf_Deals,"Illinois, USA",Look what I found on @eBay! https://t.co/9mpxP0RE7r via @eBay,0,ebay
10,richcash8,"Lake Tahoe, Nevada","Prince Alwaleed billionaire Clinton Foundation donor w AAPL, C, EBAY, FOXA, TWTR, called T ""disgrace not only to GOP but to all America""",0,ebay
11,Chromecastebay,United States,New Chromecast on Ebay Genuine Authentic Google Chromecast Media Streaming Device (H2G2-42) - Used… https://t.co/SIapLslxTB,0,ebay
12,joebayy,,Nike Dri-Fit Women's Crew Shorts Royal Blue With Black Control Top Size Small #Nike https://t.co/6xODP6f3DC via @eBay,0,ebay
13,SpartyHawkCache,"Overland Park, KS","Check out Al ""The Mad Hungarian"" Hrabosky (P) StL Cards-Autographed MLB Baseball (BAS COA) https://t.co/sbhpIa7m0B @eBay",0,ebay
14,lappear_ebay,New Jersey,♡∞ Christmas Carolers Bell Siilver PLated? with Wooden Handle U25 https://t.co/8IswPOMTum https://t.co/Uxip64BQuP,0,ebay
15,ambigdeals,"Florida, USA",Check out what I found. Cooker Pressure Electric 6 Litre 1000 W Brushed Stainless Steel Black https://t.co/ejOSLCi2qq via @eBay_UK,0,ebay
16,1percentwatches,,#Omega Seamaster Professional 300m 2561.80.00 Wrist Watch for Men James https://t.co/aPcwJCV4ZR https://t.co/w7nZg6CVcO,0,ebay
17,dejavugarbsplu3,,♠Δ Green Tea Plus XXL New Black Crushed Velvet Step Hemline Short Sleeve... Available 4U https://t.co/HZhiIw9olr https://t.co/eBtZTPK0JM,0,ebay
18,BlogForTheCause,Online!,Nike Air Max 97 Cobblestone Grey Suede White UK 10.5 11.5 US QS PRM https://t.co/BnDG4VU1LH,0,ebay
19,BigFishFinds,North Carolina,RT @supergirlebay: #CuriousGeorge Varsity #Socks #2Pack #ebay #forsale #girlboss #SetOf2 https://t.co/KzyYnJfdib @eBay,1,ebay
20,WatchesArt,,#FREE OVERNIGHT! TUDOR HERITAGE BLACK BAY RED WATCH LEATHER CANVAS STRA #LuxuryWatch https://t.co/tkSrHtAzsf https://t.co/bbrXOhy5fp,0,ebay
21,lappear_ebay,New Jersey,✯❀ Danbury Mint Santa Claus Christmas Silver Rhodium Plated Bell 1978 w/Box https://t.co/z8fEakZJuS https://t.co/n6Iv19sIp1,0,ebay
22,holidayhqteam,,Florida Gators Plastic Chrome 3D Emblem Automotive Car Truck Vehicle NCAA https://t.co/gfibfa0Zy4,0,ebay
23,Negwenydonkey,Luxembourg,Check out what I found.  https://t.co/ja4GAqSOQB via @eBay_UK,0,ebay
24,WatchesArt,,#Frederique Constant Ladies Automatic Diamond Womens Watch Date FC-303W #LuxuryWatch https://t.co/zPkQSeffXT https://t.co/adcUcSSYsw,0,ebay
25,TSVAntiques,UK,"Check out what I found. #Vintage  #necklace &amp;amp; earrings set signed #jewelcraft, #costumejewellery https://t.co/rReW2RWayC via @eBay_UK",0,ebay
26,Sun_Lord,London,Check out Makewe 22 or 32 OZ Thermos Double-walled Vacuum Insulated Stainless Steel https://t.co/PQB4pWdKhw @eBay,0,ebay
27,ljowil628,Springfield MO,Check out Pedigree Men's 42 Nylon Jacket Vintage The Name That Skis The World USA Brown #Pedigree https://t.co/9zupYsHkWQ via @eBay,0,ebay
28,BlogForTheCause,Online!,Nike Air Max 90 Ultra 2.0 Flyknit Medium Olive Green String 875943 001 Size 8-13 https://t.co/0s96IJlVI6,0,ebay
29,BlogForTheCause,Online!,Nike  Kobe XI Elite Low Mens Sz 7.5 Bright Mango Grey 822675-078 Easter $200 https://t.co/grXw2zXqDA,0,ebay
30,WatchesArt,,#Beautiful Piaget Dancer 18K Yellow Gold Mother of Pearl &amp; Diamond (1.0 #LuxuryWatch https://t.co/iQmSzv7X23 https://t.co/slTPEYQgYh,0,ebay
31,WatchesArt,,#Blancpain Villeret Ultra Slim 18k Yellow Gold Open Skeleton Case Back  #LuxuryWatch https://t.co/rNCDYfrrWE https://t.co/yyUPe1yzph,0,ebay
32,2ndressedtokill,,❤✾ Ann Taylor M Pink Silk Lined Ruffle V-Neckline Side Zip Short Sleeve T... Unbeatable! https://t.co/MpGijEtxOZ https://t.co/BIojgrccT0,0,ebay
33,BlogForTheCause,Online!,Nike Air Max 97 Cobblestone Grey Suede White UK 13 US 14 QS PRM https://t.co/9MxibdMusf,0,ebay
34,ShoesIsCrazy,US,Vans Breton Boot Black QE2A12 black over-the-ankle https://t.co/B4BBY1k0x4,0,ebay
35,BlogForTheCause,Online!,NEW Nike Air Jordan Retro 13 XIII Bred Black Red 414571 010 Mens Size 10  https://t.co/1L6HszAoCk,0,ebay
36,BlogForTheCause,Online!,"Nike Air Jordan Retro 1 High OG ""ROYAL BLUES"", Men's Size 10.5 https://t.co/UDjLsu6T4a",0,ebay
37,WatchesArt,,#18k YG. AND DIAMOND LADIES VINTAGE DRESS ROLEX WATCH #LuxuryWatch https://t.co/lgfmZQTP3h https://t.co/VaWMJL7i8s,0,ebay
38,ShoesIsCrazy,US,Brand New Air Jordan 3 Retro Prem HC Women's Athletic Sneakers [AA1243 020] https://t.co/FYVDncd0lH,0,ebay
39,BlogForTheCause,Online!,"Nike Tanjun SE 844908001 black halfshoes 6.0,6.5 https://t.co/ryvRFp0wfT",0,ebay
40,BlogForTheCause,Online!,Nike Air Jordan 2010 / US Size 9 /  BLK/DARK CHARCOAL-VRSTY RD 387358 001 / New https://t.co/0rsmRvl9Qw,0,ebay
41,joebayy,,Check out Nike Dri-Fit Women's Crew Shorts Royal Blue With Black Control Top Size Small #Nike https://t.co/6xODP6f3DC via #eBay,0,ebay
42,WatchesArt,,#Omega Seamaster Professional 300m 2561.80.00 Wrist Watch for Men James #LuxuryWatch https://t.co/grQrBGnxu6 https://t.co/J9ncidethZ,0,ebay
43,BlogForTheCause,Online!,Nike X KITH Air Pippen 1 - Black Pony Size 12 https://t.co/FzwDoDfr7e,0,ebay
44,BlogForTheCause,Online!,Nike Air Max 97 Cobblestone Grey Suede White UK 12 13 US QS PRM https://t.co/YDOqFBS9DX,0,ebay
45,2ndressedtokill,,♠♯ Nine West M/8 Brown Silk Artsy Floral Print Beaded V-Neckline Short Sl... Crazy Prices https://t.co/EPUPlBdUmv https://t.co/aC2AnNTXns,0,ebay
46,SpartyHawkCache,"Overland Park, KS",Check out Amos Otis (CF) Kansas City Royals - Autographed MLB Baseball (BAS COA) https://t.co/jlJwucj979 @eBay,0,ebay
47,hammersmith78,,RT @collectstones: Rolling Stones /    Lp  2a / 3a https://t.co/3wHs9tLjYo https://t.co/21Czsij2qG,3,ebay
48,BlogForTheCause,Online!,NEW DS Nike Air Jordan 1 Retro Hare 2009 Size 11.5 Mens 374454 011 https://t.co/XX0inoh935,0,ebay
49,SouthernEclect,"Myrtle Beach, SC",Check out Healthy Cooking by Taste of Home June / July 2011  https://t.co/y6D2eeAHU8 via @eBay,0,ebay
50,BlogForTheCause,Online!,NIB Men's Nike Air VaporMax FlyKnit Pure Platinum / Wolf Grey 849558-004 https://t.co/HknY2hCsWW,0,ebay
51,dejavugarbsplu3,,♡❃ Green Tea Plus XXL New  Blue Crushed Velvet Step Hemline Short Sleeve... Act now https://t.co/rUuum9gOXf https://t.co/n0dAyqwby9,0,ebay
52,ShoesIsCrazy,US,Brooks Running Men's Addiction 13 Shoe https://t.co/iBHOXYllfg,0,ebay
53,BlogForTheCause,Online!,Foamposite Volt lime  size 13 https://t.co/em1JX4sesc,0,ebay
54,Brand_Clothes,USA,◔• NIB ALAIA BLACK SUEDE STUDDED ROUND TOE SCULPTURED HIGH HEEL PUMPS 36.... Classic https://t.co/2a5mlRywOr https://t.co/0F0UZVa3f5,0,ebay
55,Patrici24365075,"Chester, England",#BarnsleyHour 🙄 Dragon Head Knife Hand Spinner Darts Stress Reducer EDC Fidget Finger Toy Cool 🤔… https://t.co/2HMQxchF4p,0,ebay
56,BlogForTheCause,Online!,Nike Air Max 95 Running Walking Black Binary Blue Royal Grey Sz 13 749766-023  https://t.co/Q8Hu9aAmaK,0,ebay
57,dejavugarbs,"Las Vegas, NV",✔♮ GREEN TEA XXL NEW TEAL SPACE-DYE ZIPPER DETAIL HI-LO HEM SHORT SLEEVE... Best Ever https://t.co/HsdQuri7gw https://t.co/4vZaJBezce,0,ebay
58,joebayy,,Check out Nike Dri-Fit Women's Crew Shorts Royal Blue With Black Control Top Small #Nike https://t.co/6xODP6f3DC via @eBay,0,ebay
59,dejavugarbsplu3,,☼♮ GREEN TEA XL NEW WHITE BUTTERFLY PATTERN STUDS ROUND NECK SHORT SLEEVE... Act now https://t.co/I4mDZRmlm5 https://t.co/NqpYnT6obL,0,ebay
60,Malibulove919,Malibu,Check out Lululemon gorgeous hot pink zip pullover size 6 #Lululemon #ZipPullover https://t.co/y7FiZg8e2O via @eBay,0,ebay
61,belleshoppe333,Pacific Northwest - Oregon,RT @blueamberrain6: Check out Milton Toddler 12 Month Airborne Jumpsuit Green Military Outfit Dressup  https://t.co/0AkU0xTzFD @eBay,6,ebay
62,PeriodComics,,Amazing Adventures # 6 - Ditko art &amp; Kirby monster cover VG Cond. https://t.co/h0bH4FvikL https://t.co/8hECoL3noS,0,ebay
63,Bokanume,,Check out AIR JORDAN 2 RETRO NIGHTSHADE II SZ SIZE 14 385475-303 just don off white 1 blue #Jordan https://t.co/KGEMbphyhe via @eBay,0,ebay
64,CallaghanDamien,Canberra Australia,Check out Patrick Patty Mills Hand Signed San Antonio Spurs NBA Jersey https://t.co/m06r8TRKAe @eBay @NBAcom @NBA_AU,0,ebay
65,joebayy,,Check out Nike Dri-Fit Women's Crew Shorts Royal Blue With Black Control Top Size Small #Nike https://t.co/6xODP6f3DC,0,ebay
66,SpartyHawkCache,"Overland Park, KS",Check out John Mayberry (1B) Kansas City Royals - Autographed MLB Baseball (BAS COA) https://t.co/uCA2DKQp4t @eBay,0,ebay
67,ambigdeals,"Florida, USA",Check out what I found. Cooker Pressure Electric 7 Litre 1000 W Brushed Stainless Steel/Black https://t.co/sMx8ZlFVoF via @eBay_UK,0,ebay
68,sambawoman,"Lake Michigan shores, USA",RT @USClassicAutos: eBay: 1956 Lincoln Premiere 2 door Best of the Best !! Over $150k 3 year restoration !! Make… https://t.co/FvmmF9yguJ #…,1,ebay
69,2ndressedtokill,,⌂ő NY Collection Juniors Plus 2X New Blue Faux Wrap Sleeveless Full- Leng... Affordable https://t.co/G4mKdSn0aA https://t.co/Hx1iBNE6mR,0,ebay
70,belleshoppe333,Pacific Northwest - Oregon,RT @blueamberrain6: Check out Jones New York Womans Dress Suit NEW Sz 8 Stretch Work Wool Blend $300 Value https://t.co/w9450oKTLN @eBay,4,ebay
71,ukbusinessnet,UK,Why pay the monthly fees for a store on #ebay_uk when its all FREE on https://t.co/xSHCuf1Gpi!! Any store size - FR… https://t.co/ShKdAis8Ym,0,ebay
